MARITAL;AGE;GENDER1;HOMPOP;HAPPY;HEALTH;SATJOB;REALINC
1;38;2;5;2;1;3;22050
1;55;1;2;2;2;2;68600
3;40;1;2;3;2;2;26950
1;38;1;4;1;2;1;58800
3;52;1;2;2;2;1;40425
1;34;2;4;2;0;2;58800
5;22;2;5;2;0;2;5512.5
1;56;2;4;1;1;1;155139.9731
3;60;2;5;2;2;1;3185
1;39;1;5;1;3;2;155139.9731
1;33;2;2;2;2;2;58800
1;67;1;6;2;0;0;0
3;51;1;1;2;2;1;40425
1;65;1;2;3;3;2;49000
5;42;2;1;2;0;1;26950
1;65;2;2;3;0;2;22050
1;25;1;4;1;2;0;10412.5
2;36;2;2;2;0;2;68600
3;38;2;4;1;2;1;15925
5;18;2;3;2;2;0;26950
5;38;1;2;1;2;1;15925
1;41;1;3;1;2;1;155139.9731
5;20;2;2;2;2;2;49000
3;39;2;2;2;0;2;68600
1;25;1;4;2;1;0;22050
1;57;1;4;2;0;2;18375
1;61;2;2;2;2;3;49000
5;31;1;1;2;2;2;22050
5;62;2;1;2;2;0;0
5;30;1;1;1;2;1;18375
2;68;2;1;1;2;1;13475
1;50;1;2;2;3;1;18375
5;27;1;3;2;3;2;22050
5;30;1;2;2;1;2;33075
1;65;1;2;2;2;2;58800
1;65;1;2;2;0;2;155139.9731
1;36;1;4;2;1;3;40425
1;72;1;2;3;0;9;22050
1;27;1;3;2;2;2;0
1;22;1;4;1;1;2;10412.5
1;33;1;5;2;0;2;10412.5
1;35;1;6;2;1;2;10412.5
1;54;2;2;1;2;1;49000
5;18;2;7;1;2;0;5512.5
5;38;2;1;2;3;1;5512.5
1;67;1;2;2;1;1;33075
1;48;1;2;2;0;3;22050
1;64;1;2;2;1;0;40425
2;89;2;1;2;3;0;0
1;48;2;2;1;0;2;22050
1;44;1;2;1;3;2;0
1;42;1;2;2;2;1;58800
1;26;2;2;1;0;1;245
3;68;2;1;1;2;1;6737.5
5;61;2;2;1;2;1;26950
1;34;1;3;1;0;1;40425
1;35;1;5;1;2;8;6737.5
5;53;2;2;2;2;2;68600
5;32;1;2;1;2;1;0
1;61;1;3;2;3;0;22050
1;28;1;3;2;3;2;11637.5
1;39;2;2;1;0;1;33075
1;61;2;2;1;2;1;155139.9731
1;65;1;2;2;0;1;0
1;34;1;2;1;2;1;68600
2;87;1;1;2;2;0;0
5;24;2;2;2;1;0;22050
5;39;2;2;2;2;1;22050
1;76;2;4;2;0;0;0
5;32;1;2;3;2;3;26950
1;54;2;4;2;0;1;40425
5;55;2;2;3;2;3;6737.5
1;53;2;5;2;3;1;155139.9731
5;62;1;1;2;2;2;15925
1;39;1;5;3;0;3;7962.5
5;30;1;4;2;2;2;26950
2;89;2;1;2;2;0;3675
5;30;1;4;1;0;2;15925
1;35;2;5;1;3;2;22050
1;73;1;2;1;0;0;33075
1;69;1;2;2;2;0;40425
2;89;2;1;2;0;0;15925
1;55;2;2;1;2;3;155139.9731
2;78;2;1;2;3;0;11637.5
1;43;2;4;2;2;2;155139.9731
2;68;2;1;1;0;0;58800
1;71;1;2;1;1;2;49000
1;47;2;4;1;2;1;155139.9731
3;68;2;1;2;0;0;18375
1;76;1;2;2;3;0;15925
1;55;1;2;1;0;1;68600
3;49;2;2;1;2;1;26950
3;68;2;1;2;3;3;33075
3;47;1;2;1;2;1;40425
1;59;1;3;1;0;0;40425
1;74;1;2;2;3;0;15925
1;71;1;2;2;0;3;22050
5;32;2;2;2;2;1;68600
5;30;1;1;1;0;1;26950
1;38;2;3;1;2;1;155139.9731
1;41;2;3;2;1;2;68600
1;62;2;2;1;0;9;58800
4;49;1;1;2;1;1;40425
3;52;1;2;2;0;1;49000
1;61;2;2;3;1;0;49000
5;52;1;2;2;1;3;155139.9731
1;33;1;6;2;2;1;155139.9731
2;65;2;1;2;3;2;13475
5;55;2;5;3;1;1;0
1;45;1;6;1;1;1;68600
1;35;2;5;2;1;2;18375
4;36;2;4;2;0;2;5512.5
1;43;2;5;1;1;4;33075
3;83;1;1;3;0;0;18375
3;64;1;1;3;0;0;6737.5
1;38;1;2;2;0;2;49000
5;25;2;2;2;3;2;22050
1;81;1;2;3;4;0;33075
3;23;2;5;3;1;4;0
5;21;2;4;3;4;1;18375
1;56;1;2;2;3;1;58800
5;30;2;5;2;0;2;13475
2;69;1;1;3;4;0;18375
1;62;1;2;2;3;1;0
1;39;1;2;2;2;3;68600
5;25;1;1;3;3;2;2205
5;75;1;1;3;0;0;26950
